date,all,seoul,all,seoul
2020-02-04,18,0,121.1538462,0
2020-02-05,1,0,,
2020-02-06,4,0,,
2020-02-07,1,0,,
2020-02-08,0,0,,
2020-02-09,3,0,,
2020-02-10,0,0,,
2020-02-11,1,0,,
2020-02-12,0,0,,
2020-02-13,0,0,,
2020-02-14,0,0,,
2020-02-15,0,0,,
2020-02-16,1,0,,
2020-02-17,1,0,,
2020-02-18,1,0,,
2020-02-19,20,0,,
2020-02-20,53,0,,
2020-02-21,100,0,,
2020-02-22,229,0,,
2020-02-23,169,0,,
2020-02-24,231,0,,
2020-02-25,144,0,,
2020-02-26,284,0,,
2020-02-27,505,0,,
2020-02-28,571,0,,
2020-02-29,813,0,,
2020-03-01,586,0,214.0645161,11.67741935
2020-03-02,476,10,,
2020-03-03,600,0,,
2020-03-04,516,1,,
2020-03-05,438,4,,
2020-03-06,518,2,,
2020-03-07,483,3,,
2020-03-08,367,12,,
2020-03-09,248,10,,
2020-03-10,131,11,,
2020-03-11,242,52,,
2020-03-12,114,19,,
2020-03-13,110,13,,
2020-03-14,107,13,,
2020-03-15,76,9,,
2020-03-16,74,6,,
2020-03-17,84,12,,
2020-03-18,93,5,,
2020-03-19,152,12,,
2020-03-20,87,17,,
2020-03-21,147,15,,
2020-03-22,98,10,,
2020-03-23,64,6,,
2020-03-24,76,4,,
2020-03-25,100,13,,
2020-03-26,104,13,,
2020-03-27,91,12,,
2020-03-28,146,18,,
2020-03-29,105,20,,
2020-03-30,78,16,,
2020-03-31,125,24,,
2020-04-01,101,24,32.63333333,6.1
2020-04-02,89,14,,
2020-04-03,86,18,,
2020-04-04,94,22,,
2020-04-05,81,24,,
2020-04-06,47,11,,
2020-04-07,47,4,,
2020-04-08,53,11,,
2020-04-09,39,12,,
2020-04-10,27,5,,
2020-04-11,30,4,,
2020-04-12,32,3,,
2020-04-13,25,8,,
2020-04-14,27,2,,
2020-04-15,27,5,,
2020-04-16,22,2,,
2020-04-17,22,2,,
2020-04-18,18,1,,
2020-04-19,8,2,,
2020-04-20,13,0,,
2020-04-21,9,2,,
2020-04-22,11,2,,
2020-04-23,8,0,,
2020-04-24,6,0,,
2020-04-25,10,1,,
2020-04-26,10,0,,
2020-04-27,10,0,,
2020-04-28,14,4,,
2020-04-29,9,0,,
2020-04-30,4,0,,
2020-05-01,9,1,22.67741935,7.35483871
2020-05-02,6,1,,
2020-05-03,13,2,,
2020-05-04,8,0,,
2020-05-05,3,0,,
2020-05-06,2,0,,
2020-05-07,4,0,,
2020-05-08,12,0,,
2020-05-09,18,12,,
2020-05-10,34,14,,
2020-05-11,35,20,,
2020-05-12,27,12,,
2020-05-13,26,12,,
2020-05-14,29,4,,
2020-05-15,27,14,,
2020-05-16,19,5,,
2020-05-17,13,5,,
2020-05-18,15,1,,
2020-05-19,13,6,,
2020-05-20,32,10,,
2020-05-21,12,4,,
2020-05-22,20,2,,
2020-05-23,23,4,,
2020-05-24,25,6,,
2020-05-25,16,6,,
2020-05-26,19,9,,
2020-05-27,40,19,,
2020-05-28,79,24,,
2020-05-29,58,20,,
2020-05-30,39,9,,
2020-05-31,27,6,,
2020-06-01,35,1,44.4,15.06666667
2020-06-02,38,14,,
2020-06-03,49,19,,
2020-06-04,39,14,,
2020-06-05,39,15,,
2020-06-06,51,23,,
2020-06-07,57,27,,
2020-06-08,38,22,,
2020-06-09,38,19,,
2020-06-10,50,12,,
2020-06-11,45,21,,
2020-06-12,56,25,,
2020-06-13,48,29,,
2020-06-14,34,12,,
2020-06-15,36,7,,
2020-06-16,34,12,,
2020-06-17,43,13,,
2020-06-18,59,25,,
2020-06-19,49,18,,
2020-06-20,67,14,,
2020-06-21,48,17,,
2020-06-22,17,5,,
2020-06-23,46,6,,
2020-06-24,51,11,,
2020-06-25,28,9,,
2020-06-26,39,17,,
2020-06-27,51,17,,
2020-06-28,62,14,,
2020-06-29,42,7,,
2020-06-30,43,7,,
2020-07-01,50,9,48.5483871,9.290322581
2020-07-02,54,13,,
2020-07-03,63,12,,
2020-07-04,63,7,,
2020-07-05,61,16,,
2020-07-06,46,3,,
2020-07-07,44,3,,
2020-07-08,63,10,,
2020-07-09,49,8,,
2020-07-10,45,8,,
2020-07-11,35,8,,
2020-07-12,44,7,,
2020-07-13,62,13,,
2020-07-14,33,7,,
2020-07-15,39,6,,
2020-07-16,61,7,,
2020-07-17,60,9,,
2020-07-18,39,6,,
2020-07-19,34,10,,
2020-07-20,26,3,,
2020-07-21,45,21,,
2020-07-22,63,16,,
2020-07-23,59,12,,
2020-07-24,41,21,,
2020-07-25,113,11,,
2020-07-26,58,7,,
2020-07-27,25,9,,
2020-07-28,28,6,,
2020-07-29,48,9,,
2020-07-30,18,3,,
2020-07-31,36,8,,
2020-08-01,31,2,182,73.12903226
2020-08-02,30,5,,
2020-08-03,23,5,,
2020-08-04,34,9,,
2020-08-05,33,6,,
2020-08-06,43,9,,
2020-08-07,20,9,,
2020-08-08,43,17,,
2020-08-09,36,13,,
2020-08-10,28,13,,
2020-08-11,34,6,,
2020-08-12,54,15,,
2020-08-13,56,26,,
2020-08-14,103,32,,
2020-08-15,166,74,,
2020-08-16,279,146,,
2020-08-17,197,90,,
2020-08-18,246,132,,
2020-08-19,297,151,,
2020-08-20,288,135,,
2020-08-21,324,126,,
2020-08-22,332,128,,
2020-08-23,397,140,,
2020-08-24,266,97,,
2020-08-25,280,134,,
2020-08-26,320,112,,
2020-08-27,441,154,,
2020-08-28,371,146,,
2020-08-29,323,125,,
2020-08-30,299,116,,
2020-08-31,248,94,,
2020-09-01,235,94,128.8333333,47.46666667
2020-09-02,267,101,,
2020-09-03,195,69,,
2020-09-04,198,68,,
2020-09-05,168,51,,
2020-09-06,167,63,,
2020-09-07,119,48,,
2020-09-08,136,67,,
2020-09-09,156,49,,
2020-09-10,155,48,,
2020-09-11,176,63,,
2020-09-12,136,50,,
2020-09-13,121,31,,
2020-09-14,109,41,,
2020-09-15,106,32,,
2020-09-16,113,51,,
2020-09-17,153,63,,
2020-09-18,126,46,,
2020-09-19,110,40,,
2020-09-20,82,28,,
2020-09-21,70,23,,
2020-09-22,61,21,,
2020-09-23,110,40,,
2020-09-24,125,39,,
2020-09-25,114,57,,
2020-09-26,61,26,,
2020-09-27,95,34,,
2020-09-28,50,19,,
2020-09-29,38,11,,
2020-09-30,113,51,,
2020-10-01,77,30,87.51612903,23.19354839
2020-10-02,63,11,,
2020-10-03,75,26,,
2020-10-04,64,16,,
2020-10-05,73,19,,
2020-10-06,75,15,,
2020-10-07,114,33,,
2020-10-08,69,20,,
2020-10-09,54,22,,
2020-10-10,72,25,,
2020-10-11,58,23,,
2020-10-12,97,31,,
2020-10-13,102,20,,
2020-10-14,84,23,,
2020-10-15,110,25,,
2020-10-16,47,18,,
2020-10-17,73,18,,
2020-10-18,91,20,,
2020-10-19,76,14,,
2020-10-20,58,11,,
2020-10-21,91,17,,
2020-10-22,121,18,,
2020-10-23,155,20,,
2020-10-24,77,22,,
2020-10-25,61,17,,
2020-10-26,119,20,,
2020-10-27,88,24,,
2020-10-28,103,25,,
2020-10-29,125,36,,
2020-10-30,114,48,,
2020-10-31,127,52,,
2020-11-01,124,45,,
2020-11-02,97,25,,
2020-11-03,75,22,,
2020-11-04,118,42,,
2020-11-05,125,50,,
2020-11-06,145,40,,
2020-11-07,89,37,,
2020-11-08,143,54,,
2020-11-09,126,46,,
2020-11-10,100,35,,
2020-11-11,146,45,,
2020-11-12,143,53,,
2020-11-13,191,74,,
2020-11-14,205,69,,
2020-11-15,208,85,,
2020-11-16,223,81,,
2020-11-17,230,90,,
